wavelenght,0J,100J
1000,-0.00323,0.0436
999,-0.00215,0.04497
998,-0.00308,0.04534
997,-0.00334,0.04522
996,-0.00287,0.04436
995,-0.00256,0.04541
994,-0.00235,0.04627
993,-0.00307,0.04517
992,-0.00389,0.04604
991,-0.00288,0.04524
990,-0.00253,0.04559
989,-0.00256,0.04593
988,-0.00362,0.04625
987,-0.00263,0.04545
986,-0.00275,0.04563
985,-0.00347,0.04576
984,-0.00279,0.04541
983,-0.00354,0.04409
982,-0.00199,0.04484
981,-0.00345,0.04461
980,-0.00333,0.04596
979,-0.00301,0.04522
978,-0.00304,0.04472
977,-0.00326,0.04383
976,-0.00325,0.04402
975,-0.00291,0.04312
974,-0.00482,0.04199
973,-0.00352,0.04113
972,-0.00352,0.04203
971,-0.00353,0.04057
970,-0.00427,0.03856
969,-0.00284,0.03816
968,-0.00352,0.03802
967,-0.00355,0.03673
966,-0.00262,0.03703
965,-0.00328,0.03546
964,-0.00265,0.03501
963,-0.00214,0.03498
962,-0.00254,0.0339
961,-0.00358,0.03221
960,-0.00342,0.03252
959,-0.00382,0.02977
958,-0.00339,0.02904
957,-0.00392,0.02803
956,-0.00396,0.02704
955,-0.00292,0.02642
954,-0.00449,0.02444
953,-0.00153,0.02473
952,-0.00339,0.02257
951,-0.00274,0.0213
950,-0.00376,0.01974
949,-0.00419,0.01925
948,-0.0031,0.01931
947,-0.00342,0.01722
946,-0.00435,0.0168
945,-0.00419,0.01566
944,-0.00421,0.01454
943,-0.00364,0.01303
942,-0.00274,0.01368
941,-0.00345,0.0116
940,-0.00442,0.01111
939,-0.00277,0.01121
938,-0.00322,0.01014
937,-0.0046,0.00715
936,-0.00346,0.00773
935,-0.00404,0.00697
934,-0.0036,0.00799
933,-0.00478,0.00673
932,-0.00305,0.00566
931,-0.0053,0.00291
930,-0.00403,0.00535
929,-0.00347,0.0043
928,-0.00263,0.00388
927,-0.00363,0.00318
926,-0.00531,0.00223
925,-0.00444,0.00313
924,-0.00421,0.00132
923,-0.00282,0.00239
922,-0.00382,0.00162
921,-0.00372,0.00205
920,-0.00388,0.00101
919,-0.00465,0.00091
918,-0.00399,0.00134
917,-0.00404,0.0007
916,-0.00324,-3E-05
915,-0.00471,-0.00119
914,-0.00394,-0.00015
913,-0.00501,-0.00305
912,-0.00437,-0.00362
911,-0.00498,-0.00557
910,-0.0045,-0.00863
909,-0.00378,-0.01063
908,-0.00264,-0.01351
907,-0.0049,-0.0157
906,-0.00503,-0.01708
905,-0.00494,-0.018
904,-0.00374,-0.01639
903,-0.00713,-0.01695
902,-0.00656,-0.01735
